Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin
chevrolet chevelle malibu,18.0,8.0,307.0,130.0,3504.0,12.0,70.0,1.0
buick skylark 320,15.0,8.0,350.0,165.0,3693.0,11.5,70.0,1.0
plymouth satellite,18.0,8.0,318.0,150.0,3436.0,11.0,70.0,1.0
amc rebel sst,16.0,8.0,304.0,150.0,3433.0,12.0,70.0,1.0
ford torino,17.0,8.0,302.0,140.0,3449.0,10.5,70.0,1.0
ford galaxie 500,15.0,8.0,429.0,198.0,4341.0,10.0,70.0,1.0
chevrolet impala,14.0,8.0,454.0,220.0,4354.0,9.0,70.0,1.0
plymouth fury iii,14.0,8.0,440.0,215.0,4312.0,8.5,70.0,1.0
pontiac catalina,14.0,8.0,455.0,225.0,4425.0,10.0,70.0,1.0
amc ambassador dpl,15.0,8.0,390.0,190.0,3850.0,8.5,70.0,1.0
dodge challenger se,15.0,8.0,383.0,170.0,3563.0,10.0,70.0,1.0
plymouth 'cuda 340,14.0,8.0,340.0,160.0,3609.0,8.0,70.0,1.0
chevrolet monte carlo,15.0,8.0,400.0,150.0,3761.0,9.5,70.0,1.0
buick estate wagon (sw),14.0,8.0,455.0,225.0,3086.0,10.0,70.0,1.0
toyota corona mark ii,24.0,4.0,113.0,95.0,2372.0,15.0,70.0,3.0
plymouth duster,22.0,6.0,198.0,95.0,2833.0,15.5,70.0,1.0
amc hornet,18.0,6.0,199.0,97.0,2774.0,15.5,70.0,1.0
ford maverick,21.0,6.0,200.0,85.0,2587.0,16.0,70.0,1.0
datsun pl510,27.0,4.0,97.0,88.0,2130.0,14.5,70.0,3.0
volkswagen 1131 deluxe sedan,26.0,4.0,97.0,46.0,1835.0,20.5,70.0,2.0
peugeot 504,25.0,4.0,110.0,87.0,2672.0,17.5,70.0,2.0
audi 100 ls,24.0,4.0,107.0,90.0,2430.0,14.5,70.0,2.0
saab 99e,25.0,4.0,104.0,95.0,2375.0,17.5,70.0,2.0
bmw 2002,26.0,4.0,121.0,113.0,2234.0,12.5,70.0,2.0
amc gremlin,21.0,6.0,199.0,90.0,2648.0,15.0,70.0,1.0
ford f250,10.0,8.0,360.0,215.0,4615.0,14.0,70.0,1.0
chevy c20,10.0,8.0,307.0,200.0,4376.0,15.0,70.0,1.0
dodge d200,11.0,8.0,318.0,210.0,4382.0,13.5,70.0,1.0
hi 1200d,9.0,8.0,304.0,193.0,4732.0,18.5,70.0,1.0
datsun pl510,27.0,4.0,97.0,88.0,2130.0,14.5,71.0,3.0
chevrolet vega 2300,28.0,4.0,140.0,90.0,2264.0,15.5,71.0,1.0
toyota corona,25.0,4.0,113.0,95.0,2228.0,14.0,71.0,3.0
amc gremlin,19.0,6.0,232.0,100.0,2634.0,13.0,71.0,1.0
plymouth satellite custom,16.0,6.0,225.0,105.0,3439.0,15.5,71.0,1.0
chevrolet chevelle malibu,17.0,6.0,250.0,100.0,3329.0,15.5,71.0,1.0
ford torino 500,19.0,6.0,250.0,88.0,3302.0,15.5,71.0,1.0
amc matador,18.0,6.0,232.0,100.0,3288.0,15.5,71.0,1.0
chevrolet impala,14.0,8.0,350.0,165.0,4209.0,12.0,71.0,1.0
pontiac catalina brougham,14.0,8.0,400.0,175.0,4464.0,11.5,71.0,1.0
ford galaxie 500,14.0,8.0,351.0,153.0,4154.0,13.5,71.0,1.0
plymouth fury iii,14.0,8.0,318.0,150.0,4096.0,13.0,71.0,1.0
dodge monaco (sw),12.0,8.0,383.0,180.0,4955.0,11.5,71.0,1.0
ford country squire (sw),13.0,8.0,400.0,170.0,4746.0,12.0,71.0,1.0
pontiac safari (sw),13.0,8.0,400.0,175.0,5140.0,12.0,71.0,1.0
amc hornet sportabout (sw),18.0,6.0,258.0,110.0,2962.0,13.5,71.0,1.0
chevrolet vega (sw),22.0,4.0,140.0,72.0,2408.0,19.0,71.0,1.0
pontiac firebird,19.0,6.0,250.0,100.0,3282.0,15.0,71.0,1.0
ford mustang,18.0,6.0,250.0,88.0,3139.0,14.5,71.0,1.0
mercury capri 2000,23.0,4.0,122.0,86.0,2220.0,14.0,71.0,1.0
opel 1900,28.0,4.0,116.0,90.0,2123.0,14.0,71.0,2.0
peugeot 304,30.0,4.0,79.0,70.0,2074.0,19.5,71.0,2.0
fiat 124b,30.0,4.0,88.0,76.0,2065.0,14.5,71.0,2.0
toyota corolla 1200,31.0,4.0,71.0,65.0,1773.0,19.0,71.0,3.0
datsun 1200,35.0,4.0,72.0,69.0,1613.0,18.0,71.0,3.0
volkswagen model 111,27.0,4.0,97.0,60.0,1834.0,19.0,71.0,2.0
plymouth cricket,26.0,4.0,91.0,70.0,1955.0,20.5,71.0,1.0
toyota corona hardtop,24.0,4.0,113.0,95.0,2278.0,15.5,72.0,3.0
dodge colt hardtop,25.0,4.0,97.5,80.0,2126.0,17.0,72.0,1.0
volkswagen type 3,23.0,4.0,97.0,54.0,2254.0,23.5,72.0,2.0
chevrolet vega,20.0,4.0,140.0,90.0,2408.0,19.5,72.0,1.0
